,Unnamed: 0,dc_abstract,dc_fundingReferences,dc_language,dc_publicationYear,dc_publisher,dc_title,dc_types_resourceTypeGeneral,dc_url,doi,group,label_vulnerable,source,flagged_words_pen,flagged_words_nyt,flagged_words_all,has_flagged_word,num_flagged_words,num_pen_words,num_nyt_words,dc_funder_first,abstract_len,title_len
0,0,"Section 10(j) of the National Labor Relations Act authorizes the National Labor Relations Board to seek temporary injunctions against employers and unions in federal district courts to stop unfair labor practices while the case is being litigated before administrative law judges and the Board. These temporary injunctions are needed to protect the process of collective bargaining and employee rights under the Act, and to ensure that Board decisions will be meaningful. The section was added as part of a set of reforms to the Act in 1947. Over the years, all NLRB General Counsels have made use of this effective enforcement tool, as shown in this chart.<br><br>There are 15 categories of labor disputes in which Section 10(j) injunctions may be appropriate, listed at [https://www.nlrb.gov/what-we-do/investigate-charges/10j-injunctions/section-10j-categories]. Under NLRB processes, potential cases are identified by Regional Offices and reviewed by the General Counsel, who must seek authorization from the Board before proceeding to court. <br><br>The csv contains Authorization Dates, Case Numbers, Case Names, and Injunction Status as of the date collected (2025-04-07). This list is all 10(j) injunction cases authorized by the Board since September 1, 2010. <br>",[],en,2025.0,ICPSR - Interuniversity Consortium for Political and Social Research,10(j) Injunctions,Dataset,https://www.datalumos.org/datalumos/project/226824/version/V1/view,10.3886/e226824v1,A_drp,1,drp,,status,status,1,1,0,1,,185,2
1,1,"CDC monitors invasive bacterial infections that cause bloodstream infections, sepsis, and meningitis in persons living in the community through Active Bacterial Core surveillance (ABCs). ABCs conducts laboratory- and population-based surveillance for invasive pneumococcal disease (IPD). ABCs serotype data are used to measure the impact of vaccine use in the United States on vaccine-type IPD.

This table reports IPD case counts in the ABCs catchment area by serotype for years 1998 through 2023. Cases are grouped into the following mutually exclusive age groups: age &lt;2 years old, age 2–4 years old, age 5–17 years old, age 18–49 years old, age 50–64 years old, and age ≥65 years old. Cases are reported by ABCs surveillance site (noted as the 2-letter state abbreviation). Combined data for all ABCs sites are labeled as “All_Sites”.

ABCs methods and surveillance areas reporting IPD cases have changed over time. Given these changes, trends in serotype distribution by year, age group, and site should be interpreted with caution. Analyze and visualize data using the ABCs Bact Facts Interactive Data Dashboard.
Read less",[],en,2026.0,ICPSR - Interuniversity Consortium for Political and Social Research,1998-2023 Serotype Data for Invasive Pneumococcal Disease Cases by Age Group from Active Bacterial Core surveillance,Dataset,https://www.datalumos.org/datalumos/project/243434/version/V1/view,10.3886/E243434V1,A_drp,1,drp,community,,community,1,1,1,0,,174,16
2,2,"This dataset contains public information on grantees of the Minority Business Development Agency (MBDA) programs, covering grants awarded since 2022. It includes data on all grant-funded centers across all MBDA programs, providing information on each grantee’s including location, contact details, service area, and its associated MBDA program.<br><br>Additional information includes the status of each grantee (whether they are currently funded and operating), grant award identifiers, and a brief description of the grantees services and specialities. Detailed information is provided in the data schema provided below.<br><br>MBDA’s mission is to promote the growth and global competitiveness of Minority Business Enterprises (MBE) in order to unlock the country’s full economic potential. MBDA programs provide support for MBEs through a variety of services aimed at improving access to capital, contracts, and markets. These programs help entrepreneurs overcome barriers to success and expand their businesses by offering tailored technical assistance, business consulting, and access to networks.<br><br>Note: the original website is titled 2002-2024 grantees but the description refers to grants awarded since 2022<br>",[],en,2025.0,ICPSR - Interuniversity Consortium for Political and Social Research,2022-2024 MBDA Grantees,Dataset,https://www.datalumos.org/datalumos/project/223443/version/V1/view,10.3886/E223443V1,A_drp,1,drp,barriers; minority; promote,barriers; minority; status,barriers; minority; promote; status,1,4,3,3,,166,3
3,3,"This submission includes publicly available data extracted in its original form. Please reference the Related Publication listed here for source and citation information &lt;br /&gt;&lt;br /&gt;

The following file contains information reported to EPA under the 2006 Inventory Update Rule (IUR). Please note that no information claimed as TSCA Confidential Business Information by an IUR reporter is contained in this file.
[https://www.epa.gov/chemical-data-reporting/downloadable-2006-iur-public-database] 
&lt;br /&gt; &lt;br /&gt;

If you have questions about the underlying data stored here, please contact U.S. Environmental Protection Agency. TSCA-Hotline@epa.gov is said to answer questions on chemical data reporting requirements for the current version of the program that generated this historical data. It's unclear if they would have much information on this particular data set. But they might be able to redirect a query. If you have questions or recommendations related to this metadata entry and extracted data, please contact the CAFE Data Management team at: climatecafe@bu.edu.
&lt;br /&gt;&lt;br /&gt;

This ACCDB [Access database] file is downloaded in compressed (ZIP) file format. After downloading the file to your preferred location, double-click on the file to extract the ACCDB file. This data requires the use of the database application program Microsoft Access [or, possibly, Microsoft SQL.",[],,2025.0,Harvard Dataverse,Extracted Data From: Downloadable 2006 IUR Public Database,Dataset,https://dataverse.harvard.edu/citation?persistentId=doi:10.7910/DVN/F3A62W,10.7910/dvn/f3a62w,A_drp,1,drp,,,,0,0,0,0,,198,8
4,4,The map illustrates the total number of 2013 and 2014 PHAP associates in each state and U.S. territory.,[],en,2026.0,ICPSR - Interuniversity Consortium for Political and Social Research,2013-2014 PHAP Associates by State,Dataset,https://www.datalumos.org/datalumos/project/244041/version/V1/view,10.3886/E244041V1,A_drp,1,drp,,,,0,0,0,0,,18,5
5,5,"This project includes a pdf capture of a webpage and the underlying data for the visualizations. <br><br>It is about the 2014 Minority Veteran Report, the goal of which is to gain an understanding of who our minority Veterans are, how their military service affects their post-military lives, and how they can be better served based on these insights.<br><br>",[],en,2025.0,ICPSR - Interuniversity Consortium for Political and Social Research,2014 Minority Veteran Report | Department of Veterans Affairs Open Data Portal,Dataset,https://www.datalumos.org/datalumos/project/222881/version/V1/view,10.3886/E222881V1,A_drp,1,drp,minority,minority,minority,1,1,1,1,,58,12
6,6,"Upon exiting service, AmeriCorps members are invited to complete the 
AmeriCorps Member Exit Survey (AmeriCorps MES) to provide information on
 their service experiences. By collecting data on member experiences, 
AmeriCorps and its partners can better understand how to support its 
members, while individuals interested in becoming a member can see the 
benefits of serving. Members that leave service after completing their 
full term or members that depart from service early both complete the 
exit survey. The data includes information on members’ civic-mindedness,
 community involvement, cultural competency, and developed life and 
career skills (based on the AmeriCorps Member Theory of Change). As well
 as measures of members’ experience and training, motivations to serve, 
and post-service plans. Any data on members that started prior to them 
turning 18 years of age is excluded from this data. <br><br>",[],en,2025.0,ICPSR - Interuniversity Consortium for Political and Social Research,Americorps Member Exit Datasets 2016-2023,Dataset,https://www.datalumos.org/datalumos/project/222043/version/V1/view,10.3886/E222043V1,A_drp,1,drp,community; excluded,excluded,community; excluded,1,2,2,1,,135,5
7,7,"The Current Population Survey Civic Engagement and Volunteering (CEV) 
Supplement is the most robust longitudinal survey about volunteerism and
 other forms of civic engagement in the United States. Produced by 
AmeriCorps in partnership with the U.S. Census Bureau, the CEV takes the
 pulse of our nation’s civic health every two years. <br><br>",[],en,2025.0,ICPSR - Interuniversity Consortium for Political and Social Research,Americorps Civic Engagement and Volunteering Survey Datasets 2017-2023,Dataset,https://www.datalumos.org/datalumos/project/222044/version/V2/view,10.3886/E222044V2,A_drp,1,drp,,,,0,0,0,0,,52,8
8,11,"CDFI Program and 
NACA Program Awardees:
 A Snapshot in 2015
 Prepared by
 Financial Strategies and Research
 CDFI Fund
<br> August 2017 <br>This summary snapshot report, and the accompanying
data file, is based on annual performance reports
submitted in 2016 by CDFI and NACA Program Financial
Assistance and Technical Assistance awardees.<br><br> – The study analyzes activities that occurred in FY 2015 as
reported by a cohort of CDFI and NACA program awardees.
<br><br>– Data is derived from the Institutional and Transactional Level
Reports submitted to the CDFI Fund.
<br><br>• The CDFI institutional level data provides key summary
data and comparisons by institution type.
<br><br>• The transactional data demonstrates how CDFIs target
distressed communities and underserved populations
throughout the United States.","[{'funderName': 'COMMUNITY DEVELOPMENT FINANCIAL INSTITUTIONS FUND', 'awardNumber': '<empty>'}]",en,2025.0,ICPSR - Interuniversity Consortium for Political and Social Research,2017 CDFI Program Awardee Performance Data Snapshot,Dataset,https://www.datalumos.org/datalumos/project/225743/version/V1/view,10.3886/E225743V1,A_drp,1,drp,institutional; underserved,institutional; underserved,institutional; underserved,1,2,2,2,COMMUNITY DEVELOPMENT FINANCIAL INSTITUTIONS FUND,119,7
9,14,This pdf gives a summary of the CDFI (Community Development Financial Institutions) program and the NACA (Native American CDFI Assistance) Program datasets and the data trends for FY (fiscal year)2018.<br>,[],en,2025.0,ICPSR - Interuniversity Consortium for Political and Social Research,2018 CDFI Program Awardee Performance Data Snapshot,Dataset,https://www.datalumos.org/datalumos/project/224367/version/V1/view,10.3886/E224367V1,A_drp,1,drp,community; native american,native american,community; native american,1,2,2,1,,30,7
10,15,"The New Markets Tax Credit Program (NMTC Program) permits taxpayers to receive a credit against Federal income
taxes for making qualified equity investments in designated Community Development Entities (CDEs). Substantially all
of the qualified equity investment (QEI) must in turn be used by the CDE to provide investments in low-income
communities. The credit provided to the investor totals 39 percent of the cost of the investment and is claimed over a
seven-year credit allowance period.<br><br> • The CDFI Fund requires all CDEs that have been awarded NMTC allocations (Allocatees) to submit an annual report
detailing how they invested QEI proceeds in low-income communities.
<br><br>• These reports must be submitted to the CDFI Fund by the Allocatees, along with their audited financial statements,
within six months after the end of their fiscal year.
• All NMTC investments must meet statutory qualifications for their investors to be able to claim the tax credit.
• The vast majority of NMTC investments are made within statutorily defined “Low-Income Communities.”<br><br>  In addition to investments located in Low-Income Communities, investments can qualify for NMTCs by using
other statutory provisions designed to target certain areas or populations, including provisions for Rural Counties,
and Low-Income Targeted Populations.
<br><br>The data represented in this summary report and accompanying data file was submitted by Allocatees prior to
September 30, 2017. Allocatees must submit their annual report to the CDFI Fund within six months after the end
of their fiscal year (FY), therefore the data submitted by September 30, 2017 represents nearly all investments for
FY 2016.","[{'funderName': 'COMMUNITY DEVELOPMENT FINANCIAL INSTITUTIONS FUND', 'awardNumber': '<empty>'}]",en,2025.0,ICPSR - Interuniversity Consortium for Political and Social Research,2018 New Markets Tax Credit Public Data Release Source Data: COMMUNITY DEVELOPMENT FINANCIAL INSTITUTIONS FUND,Dataset,https://www.datalumos.org/datalumos/project/225321/version/V1/view,10.3886/E225321V1,A_drp,1,drp,community; equity,equity,community; equity,1,2,2,1,COMMUNITY DEVELOPMENT FINANCIAL INSTITUTIONS FUND,256,15
11,16,"Monthly reports on travel speeds. The National Highway System (NHS)
 speed data refers to the median speed observed for the specified period
 (Weekday AM Peak from 7:00 to 8:00 AM and Weekday PM Peak from 4:00 to 
5:00 PM). The data is based on the National Performance Management Data Set also known as the NPMRDS data.<br>",[],en,2025.0,ICPSR - Interuniversity Consortium for Political and Social Research,NHS Traffic Speed Trends,Dataset,https://www.datalumos.org/datalumos/project/238482/version/V1/view,10.3886/E238482V1,A_drp,1,drp,,,,0,0,0,0,,56,4
