,file,project_title,id,url,format,status,size,download_date,maintainer,notes
0,_datasets/10j-injunctions.md,10(j) Injunctions,759,https://doi.org/10.3886/E226824V1,"CSV, TXT",Finished,0.0,2025-04-07,"DRP, DL","Section 10(j) of the National Labor Relations Act authorizes the National Labor Relations Board to seek temporary injunctions against employers and unions in federal district courts to stop unfair labor practices while the case is being litigated before administrative law judges and the Board. These temporary injunctions are needed to protect the process of collective bargaining and employee rights under the Act, and to ensure that Board decisions will be meaningful. The section was added as part of a set of reforms to the Act in 1947. Over the years, all NLRB General Counsels have made use of this effective enforcement tool, as shown in this chart.The csv contains Authorization Dates, Case Numbers, Case Names, and Injunction Status as of the date collected (2025-04-07). This list is all 10(j) injunction cases authorized by the Board since September 1, 2010."
1,_datasets/2002-2024-mbda-grantees.md,2002-2024 MBDA Grantees,696,https://www.datalumos.org/datalumos/project/223443/version/V1/view,CSV,Finished,0.0,2025-03-18,"DRP, DL",
2,_datasets/2006-iur-public-database.md,2006 IUR Public Database,1280,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi10.7910/DVN/F3A62W,"mhtml, ZIP, PDF",Finished,0.005,2025-02-26,"HD, CAFE-RCC","There was a 2006 version and a 2002-1986 version. Both are archived, hence 2 dataverse URLs. ~ag. Seperate Metadata https://www.epa.gov/chemical-data-reporting/summary-cdr-reporting-requirements-year, https://www.epa.gov/chemical-data-reporting/downloadable-2006-iur-public-database"
3,_datasets/2014-minority-veteran-report.md,2014 Minority Veteran Report,412,https://www.datalumos.org/datalumos/project/222881/version/V1/view,CSV,Finished,0.0,2025-03-11,"DRP, DL",
4,_datasets/2016-americorps-mes-americorps-member-exit-survey.md,2016 AmeriCorps MES AmeriCorps Member Exit Survey,396,https://www.datalumos.org/datalumos/project/222043/version/V1/view,"CSV, XLSX, PDF",Finished,0.0,2025-03-08,"DRP, DL",
5,_datasets/2017-2023-cev-findings-national-rates-of-all-measures-by-demographics-from-the-current-population-survey-civic-engagement-and-volunteering-supplement.md,2017-2023 CEV Findings National Rates of All Measures by Demographics from the Current Population Survey Civic Engagement and Volunteering Supplement,401,https://www.datalumos.org/datalumos/project/222044/version/V2/view,"CSV, XLSX, PDF",Finished,0.0,2025-03-08,"DRP, DL",
6,_datasets/2017-2023-cev-findings-national-rates-of-all-measures-from-the-current-population-survey-civic-engagement-and-volunteering-supplement.md,2017-2023 CEV Findings National Rates of All Measures from the Current Population Survey Civic Engagement and Volunteering Supplement,400,https://www.datalumos.org/datalumos/project/222044/version/V2/view,"CSV, XLSX, PDF",Finished,0.0,2025-03-08,"DRP, DL",
7,_datasets/2017-2023-cev-findings-state-level-rates-of-all-measures-from-the-current-population-survey-civic-engagement-and-volunteering-supplement.md,2017-2023 CEV Findings State-Level Rates of All Measures from the Current Population Survey Civic Engagement and Volunteering Supplement,399,https://www.datalumos.org/datalumos/project/222044/version/V2/view,"CSV, XLSX, PDF",Finished,0.0,2025-03-08,"DRP, DL",
8,_datasets/2017-americorps-mes-americorps-member-exit-survey.md,2017 AmeriCorps MES AmeriCorps Member Exit Survey,397,https://www.datalumos.org/datalumos/project/222043/version/V1/view,"CSV, XLSX, PDF",Finished,0.0,2025-03-08,"DRP, DL",
9,_datasets/2017-cdfi-program-awardee-performance-data-snapshot.md,2017 CDFI Program Awardee Performance Data Snapshot,797,https://www.datalumos.org/datalumos/project/225743/version/V1/view,"CSV, PDF, DOCX",Finished,0.097,2025-04-06,"DRP, DL",
